,number,values_0,values_1,params_length1,params_length2
0,3,3515.0,0.6923076923076923,12,30
1,69,3515.0,0.6923076923076923,12,30
2,73,3515.0,0.6923076923076923,12,30
3,6,3030.0,0.5575221238938053,5,27
4,38,2710.0,0.6017699115044248,8,21
5,65,2450.0,0.6470588235294118,12,28
6,31,2450.0,0.5913978494623656,8,27
7,67,2450.0,0.5913978494623656,8,27
8,54,2285.0,0.5555555555555556,8,26
9,28,2255.0,0.5752212389380531,6,24
10,84,2230.0,0.6703296703296703,8,30
11,0,1965.0,0.5645161290322581,9,20
12,1,1955.0,0.61,6,30
13,92,1955.0,0.61,6,30
14,12,1905.0,0.6521739130434783,8,28
15,90,1905.0,0.6521739130434783,8,28
16,48,1905.0,0.6292134831460674,10,29
17,37,1900.0,0.5543478260869565,9,28
18,46,1900.0,0.5543478260869565,9,28
19,47,1895.0,0.6060606060606061,11,24
20,74,1885.0,0.5609756097560976,15,29
21,14,1830.0,0.5983606557377049,11,20
22,39,1650.0,0.6020408163265306,12,25
23,57,1650.0,0.6020408163265306,12,25
24,18,1605.0,0.5517241379310345,15,20
25,94,1580.0,0.5779816513761468,6,26
26,13,1540.0,0.6542056074766355,6,27
27,96,1540.0,0.6542056074766355,6,27
28,16,1445.0,0.5568181818181818,8,29
29,93,1445.0,0.5568181818181818,8,29
30,17,1410.0,0.5730337078651685,12,27
31,85,1410.0,0.5730337078651685,12,27
32,71,1400.0,0.6071428571428571,9,30
33,35,1380.0,0.5392156862745098,8,25
34,23,1380.0,0.47058823529411764,5,25
35,24,1380.0,0.47058823529411764,5,25
36,78,1330.0,0.5826086956521739,7,22
37,52,1295.0,0.5802469135802469,11,29
38,59,1295.0,0.5802469135802469,11,29
39,86,1295.0,0.5802469135802469,11,29
40,8,1260.0,0.5373134328358209,14,20
41,11,1260.0,0.5373134328358209,14,20
42,87,1260.0,0.5373134328358209,14,20
43,41,1250.0,0.6019417475728155,15,23
44,4,1245.0,0.5888888888888889,11,27
45,89,1245.0,0.5888888888888889,11,27
46,68,1230.0,0.6055045871559633,11,21
47,56,1220.0,0.6050420168067226,6,21
48,76,1215.0,0.4880952380952381,14,28
49,7,1195.0,0.5104166666666666,11,25
50,83,1195.0,0.5104166666666666,11,25
51,20,1190.0,0.5979381443298969,15,26
52,43,1175.0,0.5588235294117647,12,23
53,26,1170.0,0.5638297872340425,14,25
54,36,1115.0,0.5813953488372093,9,29
55,9,1115.0,0.5263157894736842,6,20
56,60,1090.0,0.5825242718446602,5,29
57,75,1090.0,0.5825242718446602,5,29
58,88,1090.0,0.5825242718446602,5,29
59,50,1075.0,0.5487804878048781,12,29
60,70,1075.0,0.5487804878048781,12,29
61,80,1070.0,0.49612403100775193,5,22
62,91,1070.0,0.49612403100775193,5,22
63,25,1030.0,0.5677966101694916,7,21
64,30,915.0,0.5979381443298969,6,29
65,55,915.0,0.5979381443298969,6,29
66,63,915.0,0.5979381443298969,6,29
67,45,875.0,0.5483870967741935,10,28
68,97,825.0,0.5757575757575758,12,20
69,99,825.0,0.5757575757575758,12,20
70,40,820.0,0.5663716814159292,8,22
71,5,755.0,0.5470085470085471,10,21
72,77,755.0,0.5462962962962963,14,23
73,82,735.0,0.5142857142857142,7,25
74,15,730.0,0.5698924731182796,7,30
75,72,730.0,0.5698924731182796,7,30
76,22,715.0,0.5876288659793815,14,24
77,32,710.0,0.56,5,30
78,42,710.0,0.56,5,30
79,79,710.0,0.56,5,30
80,81,710.0,0.56,5,30
81,95,635.0,0.56,7,29
82,33,590.0,0.5673076923076923,12,24
83,64,590.0,0.5673076923076923,12,24
84,34,530.0,0.5512820512820513,11,30
85,27,480.0,0.5242718446601942,7,28
86,61,425.0,0.5769230769230769,6,28
87,10,320.0,0.5754716981132075,13,22
88,21,290.0,0.5769230769230769,13,23
89,49,290.0,0.5769230769230769,13,23
90,62,280.0,0.5272727272727272,7,23
91,53,205.0,0.5714285714285714,10,30
92,51,-20.0,0.4634146341463415,14,21
93,66,-20.0,0.4634146341463415,14,21
94,19,-80.0,0.5327102803738317,10,23
95,98,-250.0,0.5520833333333334,12,26
96,2,-390.0,0.4857142857142857,9,24
97,58,-390.0,0.4857142857142857,9,24
98,29,-445.0,0.5555555555555556,9,23
99,44,-980.0,0.4306569343065693,5,21
